,MK887363.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A1_EveS,MK887364.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A2_EveS,MK887365.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A5_EveS,MK887366.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A7_EveS,MK887367.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A10_EveS,MK887368.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A12_EveS,MK887443.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L2_EveS,MK887444.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L3_EveS,MK887445.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L6_EveS,MK887446.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L7_EveS,MK887447.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L8_EveS,MK887448.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L9_EveS,MK887511.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb9_EveS,MK887512.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb14_EveS,MK887513.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb15_EveS,MK887514.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb16_EveS,MK887515.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb18_EveS,MK887516.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb19_EveS,MK887559.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB1_EveE,MK887560.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB2_EveE,MK887561.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB3_EveE,MK887562.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB4_EveE,MK887563.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB5_EveE,MK887564.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB6_EveE,MK887427.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D1_EveE,MK887428.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D2_EveE,MK887429.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D3_EveE,MK887430.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D4_EveE,MK887431.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D5_EveE,MK887432.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D6_EveE,MK887545.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN1_EveE,MK887546.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN2_EveE,MK887547.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN3_EveE,MK887548.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN4_EveE,MK887549.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN5_EveE,MK887550.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN6_EveE,MK887455.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y4_EveW,MK887456.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y9_EveW,MK887457.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y11_EveW,MK887458.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y12_EveW,MK887459.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y13_EveW,MK887460.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y14_EveW,MK887416.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU7_EveW,MK887417.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU8_EveW,MK887418.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU9_EveW,MK887419.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU10_EveW,MK887420.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU11_EveW,MK887421.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU12_EveW,MK887374.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B1_EveW,MK887375.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B2_EveW,MK887378.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B5_EveW,MK887379.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B6_EveW,MK887380.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B7_EveW,MK887381.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B8_EveW
MK887548.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN4_EveE,0.0956340956,0.0956340956,0.0997920998,0.0977130977,0.0956340956,0.0956340956,0.0997920998,0.0977130977,0.0997920998,0.0956340956,0.0997920998,0.0956340956,0.0956340956,0.0956340956,0.0956340956,0.0997920998,0.0956340956,0.0956340956,0.0103950104,0.0166320166,0.0103950104,0.0124740125,0.0083160083,0.0083160083,0.0291060291,0.0103950104,0.0311850312,0.0124740125,0.0145530146,0.0062370062,0.0145530146,0.0124740125,0.0124740125,,,,,,,,,,,,,,,,,,,,,
MK887549.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN5_EveE,0.0956340956,0.0956340956,0.0997920998,0.0977130977,0.0956340956,0.0956340956,0.0997920998,0.0977130977,0.0997920998,0.0956340956,0.0997920998,0.0956340956,0.0956340956,0.0956340956,0.0956340956,0.0997920998,0.0956340956,0.0956340956,0.0041580042,0.0103950104,0.0083160083,0.0062370062,0.0020790021,0.0062370062,0.0311850312,0.0041580042,0.0332640333,0.0062370062,0.0083160083,0.0041580042,0.0083160083,0.0103950104,0.0062370062,0.0103950104,,,,,,,,,,,,,,,,,,,,
MK887550.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN6_EveE,0.0956340956,0.0956340956,0.0997920998,0.0977130977,0.0956340956,0.0956340956,0.0997920998,0.0977130977,0.0997920998,0.0956340956,0.0997920998,0.0956340956,0.0956340956,0.0956340956,0.0956340956,0.0997920998,0.0956340956,0.0956340956,0.0062370062,0.0124740125,0.0103950104,0.0083160083,0.0041580042,0.0041580042,0.0332640333,0.0062370062,0.0353430353,0.0083160083,0.0103950104,0.0020790021,0.0103950104,0.0083160083,0.0083160083,0.0083160083,0.0062370062,,,,,,,,,,,,,,,,,,,
MK887455.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y4_EveW,0.1039501040,0.1039501040,0.0997920998,0.1060291060,0.1039501040,0.1039501040,0.0997920998,0.1039501040,0.0997920998,0.1039501040,0.1018711019,0.1039501040,0.1039501040,0.1039501040,0.1039501040,0.1018711019,0.1039501040,0.1039501040,0.1143451143,0.1164241164,0.1101871102,0.1164241164,0.1122661123,0.1122661123,0.0997920998,0.1143451143,0.0977130977,0.1164241164,0.1185031185,0.1101871102,0.1143451143,0.1143451143,0.1101871102,0.1081081081,0.1143451143,0.1122661123,,,,,,,,,,,,,,,,,,
MK887456.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y9_EveW,0.1018711019,0.1018711019,0.0977130977,0.1039501040,0.1018711019,0.1018711019,0.0977130977,0.1018711019,0.0977130977,0.1018711019,0.0997920998,0.1018711019,0.1018711019,0.1018711019,0.1018711019,0.0997920998,0.1018711019,0.1018711019,0.1122661123,0.1143451143,0.1081081081,0.1143451143,0.1101871102,0.1101871102,0.0977130977,0.1122661123,0.0914760915,0.1143451143,0.1164241164,0.1081081081,0.1122661123,0.1122661123,0.1081081081,0.1060291060,0.1122661123,0.1101871102,0.0062370062,,,,,,,,,,,,,,,,,
MK887457.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y11_EveW,0.1018711019,0.1018711019,0.0977130977,0.1039501040,0.1018711019,0.1018711019,0.0977130977,0.1018711019,0.0977130977,0.1018711019,0.0997920998,0.1018711019,0.1018711019,0.1018711019,0.1018711019,0.0997920998,0.1018711019,0.1018711019,0.1122661123,0.1143451143,0.1081081081,0.1143451143,0.1101871102,0.1101871102,0.0977130977,0.1122661123,0.0956340956,0.1143451143,0.1164241164,0.1081081081,0.1122661123,0.1122661123,0.1081081081,0.1060291060,0.1122661123,0.1101871102,0.0020790021,0.0041580042,,,,,,,,,,,,,,,,
MK887458.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y12_EveW,0.1018711019,0.1018711019,0.0977130977,0.1039501040,0.1018711019,0.1018711019,0.0977130977,0.1018711019,0.0977130977,0.1018711019,0.0997920998,0.1018711019,0.1018711019,0.1018711019,0.1018711019,0.0997920998,0.1018711019,0.1018711019,0.1122661123,0.1143451143,0.1081081081,0.1143451143,0.1101871102,0.1101871102,0.0977130977,0.1122661123,0.0956340956,0.1143451143,0.1164241164,0.1081081081,0.1122661123,0.1122661123,0.1081081081,0.1060291060,0.1122661123,0.1101871102,0.0020790021,0.0041580042,0.0000000000,,,,,,,,,,,,,,,
MK887459.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y13_EveW,0.1018711019,0.1018711019,0.1018711019,0.1039501040,0.1018711019,0.1018711019,0.1018711019,0.1060291060,0.1018711019,0.1018711019,0.1039501040,0.1018711019,0.1018711019,0.1018711019,0.1018711019,0.1018711019,0.1018711019,0.1018711019,0.1122661123,0.1143451143,0.1081081081,0.1143451143,0.1101871102,0.1101871102,0.1018711019,0.1122661123,0.0997920998,0.1143451143,0.1164241164,0.1081081081,0.1122661123,0.1122661123,0.1081081081,0.1018711019,0.1122661123,0.1101871102,0.0062370062,0.0083160083,0.0041580042,0.0041580042,,,,,,,,,,,,,,
MK887460.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y14_EveW,0.0997920998,0.0997920998,0.0956340956,0.1018711019,0.0997920998,0.0997920998,0.0956340956,0.0997920998,0.0956340956,0.0997920998,0.0977130977,0.0997920998,0.0997920998,0.0997920998,0.0997920998,0.0977130977,0.0997920998,0.0997920998,0.1101871102,0.1122661123,0.1060291060,0.1122661123,0.1081081081,0.1081081081,0.0956340956,0.1101871102,0.0977130977,0.1122661123,0.1143451143,0.1060291060,0.1101871102,0.1101871102,0.1060291060,0.1039501040,0.1101871102,0.1081081081,0.0041580042,0.0062370062,0.0020790021,0.0020790021,0.0062370062,,,,,,,,,,,,,
MK887416.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU7_EveW,0.1060291060,0.1060291060,0.1018711019,0.1081081081,0.1060291060,0.1060291060,0.1018711019,0.1060291060,0.1018711019,0.1060291060,0.1039501040,0.1060291060,0.1060291060,0.1060291060,0.1060291060,0.1039501040,0.1060291060,0.1060291060,0.1122661123,0.1143451143,0.1122661123,0.1143451143,0.1101871102,0.1101871102,0.0977130977,0.1122661123,0.0956340956,0.1143451143,0.1164241164,0.1081081081,0.1122661123,0.1122661123,0.1122661123,0.1060291060,0.1122661123,0.1101871102,0.0062370062,0.0083160083,0.0041580042,0.0041580042,0.0083160083,0.0062370062,,,,,,,,,,,,
MK887417.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU8_EveW,0.1060291060,0.1060291060,0.1018711019,0.1081081081,0.1060291060,0.1060291060,0.1018711019,0.1060291060,0.1018711019,0.1060291060,0.1039501040,0.1060291060,0.1060291060,0.1060291060,0.1060291060,0.1039501040,0.1060291060,0.1060291060,0.1122661123,0.1143451143,0.1122661123,0.1143451143,0.1101871102,0.1101871102,0.0977130977,0.1122661123,0.0956340956,0.1143451143,0.1164241164,0.1081081081,0.1122661123,0.1122661123,0.1122661123,0.1060291060,0.1122661123,0.1101871102,0.0062370062,0.0083160083,0.0041580042,0.0041580042,0.0083160083,0.0062370062,0.0000000000,,,,,,,,,,,
MK887418.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU9_EveW,0.1060291060,0.1060291060,0.1018711019,0.1081081081,0.1060291060,0.1060291060,0.1018711019,0.1060291060,0.1018711019,0.1060291060,0.1039501040,0.1060291060,0.1060291060,0.1060291060,0.1060291060,0.1039501040,0.1060291060,0.1060291060,0.1122661123,0.1143451143,0.1122661123,0.1143451143,0.1101871102,0.1101871102,0.0977130977,0.1122661123,0.0956340956,0.1143451143,0.1164241164,0.1081081081,0.1122661123,0.1122661123,0.1122661123,0.1060291060,0.1122661123,0.1101871102,0.0062370062,0.0083160083,0.0041580042,0.0041580042,0.0083160083,0.0062370062,0.0000000000,0.0000000000,,,,,,,,,,
MK887419.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU10_EveW,0.1060291060,0.1060291060,0.1018711019,0.1081081081,0.1060291060,0.1060291060,0.1018711019,0.1060291060,0.1018711019,0.1060291060,0.1039501040,0.1060291060,0.1060291060,0.1060291060,0.1060291060,0.1039501040,0.1060291060,0.1060291060,0.1122661123,0.1143451143,0.1122661123,0.1143451143,0.1101871102,0.1101871102,0.0977130977,0.1122661123,0.0956340956,0.1143451143,0.1164241164,0.1081081081,0.1122661123,0.1122661123,0.1122661123,0.1060291060,0.1122661123,0.1101871102,0.0062370062,0.0083160083,0.0041580042,0.0041580042,0.0083160083,0.0062370062,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,
MK887420.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU11_EveW,0.1060291060,0.1060291060,0.1018711019,0.1081081081,0.1060291060,0.1060291060,0.1018711019,0.1060291060,0.1018711019,0.1060291060,0.1039501040,0.1060291060,0.1060291060,0.1060291060,0.1060291060,0.1039501040,0.1060291060,0.1060291060,0.1122661123,0.1143451143,0.1122661123,0.1143451143,0.1101871102,0.1101871102,0.0977130977,0.1122661123,0.0956340956,0.1143451143,0.1164241164,0.1081081081,0.1122661123,0.1122661123,0.1122661123,0.1060291060,0.1122661123,0.1101871102,0.0062370062,0.0083160083,0.0041580042,0.0041580042,0.0083160083,0.0062370062,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,,,
MK887421.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU12_EveW,0.1039501040,0.1039501040,0.0997920998,0.1060291060,0.1039501040,0.1039501040,0.0997920998,0.1039501040,0.0997920998,0.1039501040,0.1018711019,0.1039501040,0.1039501040,0.1039501040,0.1039501040,0.1018711019,0.1039501040,0.1039501040,0.1101871102,0.1122661123,0.1101871102,0.1122661123,0.1081081081,0.1081081081,0.0956340956,0.1101871102,0.0977130977,0.1122661123,0.1143451143,0.1060291060,0.1101871102,0.1101871102,0.1101871102,0.1039501040,0.1101871102,0.1081081081,0.0083160083,0.0103950104,0.0062370062,0.0062370062,0.0103950104,0.0041580042,0.0020790021,0.0020790021,0.0020790021,0.0020790021,0.0020790021,,,,,,,
MK887374.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B1_EveW,0.1122661123,0.1122661123,0.1081081081,0.1143451143,0.1122661123,0.1122661123,0.1081081081,0.1122661123,0.1081081081,0.1122661123,0.1101871102,0.1122661123,0.1122661123,0.1122661123,0.1122661123,0.1101871102,0.1122661123,0.1122661123,0.1185031185,0.1205821206,0.1143451143,0.1205821206,0.1164241164,0.1164241164,0.1081081081,0.1185031185,0.1060291060,0.1205821206,0.1226611227,0.1143451143,0.1185031185,0.1185031185,0.1143451143,0.1164241164,0.1185031185,0.1164241164,0.0124740125,0.0145530146,0.0103950104,0.0103950104,0.0145530146,0.0124740125,0.0103950104,0.0103950104,0.0103950104,0.0103950104,0.0103950104,0.0124740125,,,,,,
MK887375.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B2_EveW,0.1101871102,0.1101871102,0.1060291060,0.1122661123,0.1101871102,0.1101871102,0.1060291060,0.1101871102,0.1060291060,0.1101871102,0.1081081081,0.1101871102,0.1101871102,0.1101871102,0.1101871102,0.1081081081,0.1101871102,0.1101871102,0.1205821206,0.1226611227,0.1164241164,0.1226611227,0.1185031185,0.1185031185,0.1060291060,0.1205821206,0.1039501040,0.1226611227,0.1247401247,0.1164241164,0.1205821206,0.1205821206,0.1164241164,0.1143451143,0.1205821206,0.1185031185,0.0103950104,0.0124740125,0.0083160083,0.0083160083,0.0124740125,0.0103950104,0.0083160083,0.0083160083,0.0083160083,0.0083160083,0.0083160083,0.0103950104,0.0020790021,,,,,
MK887378.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B5_EveW,0.1101871102,0.1101871102,0.1060291060,0.1122661123,0.1101871102,0.1101871102,0.1060291060,0.1101871102,0.1060291060,0.1101871102,0.1081081081,0.1101871102,0.1101871102,0.1101871102,0.1101871102,0.1081081081,0.1101871102,0.1101871102,0.1205821206,0.1226611227,0.1164241164,0.1226611227,0.1185031185,0.1185031185,0.1060291060,0.1205821206,0.1039501040,0.1226611227,0.1247401247,0.1164241164,0.1205821206,0.1205821206,0.1164241164,0.1143451143,0.1205821206,0.1185031185,0.0103950104,0.0124740125,0.0083160083,0.0083160083,0.0124740125,0.0103950104,0.0083160083,0.0083160083,0.0083160083,0.0083160083,0.0083160083,0.0103950104,0.0020790021,0.0000000000,,,,
MK887379.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B6_EveW,0.1039501040,0.1039501040,0.0997920998,0.1060291060,0.1039501040,0.1039501040,0.0997920998,0.1039501040,0.0997920998,0.1039501040,0.1018711019,0.1039501040,0.1039501040,0.1039501040,0.1039501040,0.1018711019,0.1039501040,0.1039501040,0.1143451143,0.1164241164,0.1101871102,0.1164241164,0.1122661123,0.1122661123,0.0997920998,0.1143451143,0.1018711019,0.1164241164,0.1185031185,0.1101871102,0.1143451143,0.1143451143,0.1101871102,0.1081081081,0.1143451143,0.1122661123,0.0166320166,0.0187110187,0.0145530146,0.0145530146,0.0187110187,0.0124740125,0.0145530146,0.0145530146,0.0145530146,0.0145530146,0.0145530146,0.0124740125,0.0083160083,0.0062370062,0.0062370062,,,
MK887380.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B7_EveW,0.1101871102,0.1101871102,0.1060291060,0.1122661123,0.1101871102,0.1101871102,0.1060291060,0.1101871102,0.1060291060,0.1101871102,0.1081081081,0.1101871102,0.1101871102,0.1101871102,0.1101871102,0.1081081081,0.1101871102,0.1101871102,0.1226611227,0.1247401247,0.1185031185,0.1247401247,0.1205821206,0.1205821206,0.1081081081,0.1226611227,0.1060291060,0.1247401247,0.1268191268,0.1185031185,0.1226611227,0.1226611227,0.1185031185,0.1164241164,0.1226611227,0.1205821206,0.0124740125,0.0145530146,0.0103950104,0.0103950104,0.0145530146,0.0124740125,0.0103950104,0.0103950104,0.0103950104,0.0103950104,0.0103950104,0.0124740125,0.0041580042,0.0020790021,0.0020790021,0.0083160083,,
MK887381.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B8_EveW,0.1039501040,0.1039501040,0.0997920998,0.1060291060,0.1039501040,0.1039501040,0.0997920998,0.1039501040,0.0997920998,0.1039501040,0.1018711019,0.1039501040,0.1039501040,0.1039501040,0.1039501040,0.1018711019,0.1039501040,0.1039501040,0.1143451143,0.1164241164,0.1101871102,0.1164241164,0.1122661123,0.1122661123,0.0997920998,0.1143451143,0.1018711019,0.1164241164,0.1185031185,0.1101871102,0.1143451143,0.1143451143,0.1101871102,0.1081081081,0.1143451143,0.1122661123,0.0166320166,0.0187110187,0.0145530146,0.0145530146,0.0187110187,0.0124740125,0.0145530146,0.0145530146,0.0145530146,0.0145530146,0.0145530146,0.0124740125,0.0083160083,0.0062370062,0.0062370062,0.0000000000,0.0083160083,
