,MK887363.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A1_EveS,MK887364.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A2_EveS,MK887365.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A5_EveS,MK887445.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L6_EveS,MK887443.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L2_EveS,MK887444.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L3_EveS,MK887447.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L8_EveS,MK887514.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb16_EveS,MK887428.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D2_EveE,MK887430.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D4_EveE,MK887431.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D5_EveE,MK887549.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN5_EveE,MK887563.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB5_EveE,MK887560.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB2_EveE,MK887545.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN1_EveE,MK887562.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB4_EveE,MK887561.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB3_EveE,MK887547.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN3_EveE,MK887546.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN2_EveE,MK887432.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D6_EveE,MK887550.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN6_EveE,MK887548.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN4_EveE,MK887564.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB6_EveE,MK887427.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D1_EveE,MK887429.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D3_EveE,MK887455.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y4_EveW,MK887416.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU7_EveW,MK887420.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU11_EveW,MK887419.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU10_EveW,MK887418.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU9_EveW,MK887417.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU8_EveW,MK887421.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU12_EveW,MK887374.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B1_EveW,MK887379.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B6_EveW,MK887381.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B8_EveW,MK887375.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B2_EveW,MK887378.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B5_EveW,MK887380.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B7_EveW,MK887457.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y11_EveW,MK887458.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y12_EveW,MK887460.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y14_EveW,MK887459.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y13_EveW,MK887456.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y9_EveW,MK887366.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A7_EveS,MK887446.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L7_EveS,MK887516.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb19_EveS,MK887512.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb14_EveS,MK887367.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A10_EveS,MK887511.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb9_EveS,MK887368.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A12_EveS,MK887515.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb18_EveS,MK887513.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb15_EveS,MK887448.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L9_EveS
MK887431.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D5_EveE,0.2240477139,0.2240477139,0.2149068895,0.2149068895,0.2149068895,0.2194209879,0.2171260365,0.2203223971,0.0085893884,0.0021463781,0,0.0085998097,0.0064620662,0.0151826437,0.0129906582,0.0107571375,0.0130124203,0.0107931141,0.0151991522,0.0085996809,0.0107358876,0.0151150936,0.0107304974,0.0445750459,0.0471248149,0.2247305439,0.2268631714,0.2268631714,0.2268631714,0.2268631714,0.2268631714,0.2289683690,0.2334048206,0.2377133831,0.2377133831,0.2313226133,0.2313226133,0.2334095508,0.2226129326,0.2226129326,0.2247276605,0.2268660969,0.2183485181,0.2262806074,0.2240477139,0.2240477139,0.2240477139,0.2240477139,0.2240477139,0.2240477139,0.2240477139,0.2240477139,0.2240477139,
MK887549.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN5_EveE,0.2197274272,0.2197274272,0.2105866028,0.2105866028,0.2105866028,0.2151007012,0.2128057498,0.2160021104,0.0042731377,0.0064554496,0.0085998097,0,0.0021417795,0.0108623570,0.0086703715,0.0064368508,0.0086921336,0.0064728274,0.0108788655,0.0042793942,0.0064156009,0.0107948069,0.0064102107,0.0402547592,0.0428045282,0.2204102572,0.2225428847,0.2225428847,0.2225428847,0.2225428847,0.2225428847,0.2246480823,0.2290845339,0.2333930964,0.2333930964,0.2270023266,0.2270023266,0.2290892641,0.2182926459,0.2182926459,0.2204073738,0.2225458102,0.2140282314,0.2219603207,0.2197274272,0.2197274272,0.2197274272,0.2197274272,0.2197274272,0.2197274272,0.2197274272,0.2197274272,0.2197274272,
MK887563.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB5_EveE,0.2175876657,0.2175876657,0.2084468413,0.2084468413,0.2084468413,0.2129609397,0.2106659883,0.2138623489,0.0021353942,0.0043177061,0.0064620662,0.0021417795,0,0.0087225955,0.0065306100,0.0042970893,0.0065523721,0.0043330659,0.0087391040,0.0021396327,0.0042758394,0.0086550454,0.0042704492,0.0381149977,0.0406647667,0.2182704957,0.2204031232,0.2204031232,0.2204031232,0.2204031232,0.2204031232,0.2225083208,0.2269447724,0.2312533349,0.2312533349,0.2248625651,0.2248625651,0.2269495026,0.2161528844,0.2161528844,0.2182676123,0.2204060487,0.2118884699,0.2198205592,0.2175876657,0.2175876657,0.2175876657,0.2175876657,0.2175876657,0.2175876657,0.2175876657,0.2175876657,0.2175876657,
MK887560.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB2_EveE,0.2263062252,0.2263062252,0.2171654008,0.2171654008,0.2171654008,0.2216794992,0.2193845478,0.2225809084,0.0108559717,0.0130382836,0.0151826437,0.0108623570,0.0087225955,0,0.0108802987,0.0130136308,0.0152709316,0.0130516254,0.0174576635,0.0108581922,0.0129943989,0.0173736049,0.0129890087,0.0468335572,0.0493833262,0.2269890552,0.2291216827,0.2291216827,0.2291216827,0.2291216827,0.2291216827,0.2312268803,0.2356633319,0.2399718944,0.2399718944,0.2335811246,0.2335811246,0.2356680621,0.2248714439,0.2248714439,0.2269861718,0.2291246082,0.2206070294,0.2285391187,0.2263062252,0.2263062252,0.2263062252,0.2263062252,0.2263062252,0.2263062252,0.2263062252,0.2263062252,0.2263062252,
MK887545.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN1_EveE,0.2241142397,0.2241142397,0.2149734153,0.2149734153,0.2149734153,0.2194875137,0.2171925623,0.2203889229,0.0086639862,0.0108462981,0.0129906582,0.0086703715,0.0065306100,0.0108802987,0,0.0108216453,0.0130789461,0.0108596399,0.0152656780,0.0086662067,0.0108024134,0.0151816194,0.0107970232,0.0446415717,0.0471913407,0.2247970697,0.2269296972,0.2269296972,0.2269296972,0.2269296972,0.2269296972,0.2290348948,0.2334713464,0.2377799089,0.2377799089,0.2313891391,0.2313891391,0.2334760766,0.2226794584,0.2226794584,0.2247941863,0.2269326227,0.2184150439,0.2263471332,0.2241142397,0.2241142397,0.2241142397,0.2241142397,0.2241142397,0.2241142397,0.2241142397,0.2241142397,0.2241142397,
MK887562.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB4_EveE,0.2218807190,0.2218807190,0.2127398946,0.2127398946,0.2127398946,0.2172539930,0.2149590416,0.2181554022,0.0064304655,0.0086127774,0.0107571375,0.0064368508,0.0042970893,0.0130136308,0.0108216453,0,0.0108454254,0.0086261192,0.0130321573,0.0064326860,0.0085688927,0.0129480987,0.0085635025,0.0424080510,0.0449578200,0.2225635490,0.2246961765,0.2246961765,0.2246961765,0.2246961765,0.2246961765,0.2268013741,0.2312378257,0.2355463882,0.2355463882,0.2291556184,0.2291556184,0.2312425559,0.2204459377,0.2204459377,0.2225606656,0.2246991020,0.2161815232,0.2241136125,0.2218807190,0.2218807190,0.2218807190,0.2218807190,0.2218807190,0.2218807190,0.2218807190,0.2218807190,0.2218807190,
MK887561.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB3_EveE,0.2241339838,0.2241339838,0.2149931594,0.2149931594,0.2149931594,0.2195072578,0.2172123064,0.2204086670,0.0086857483,0.0108680602,0.0130124203,0.0086921336,0.0065523721,0.0152709316,0.0130789461,0.0108454254,0,0.0065727844,0.0152854221,0.0086859508,0.0108221575,0.0152013635,0.0108167673,0.0446613158,0.0472110848,0.2248168138,0.2269494413,0.2269494413,0.2269494413,0.2269494413,0.2269494413,0.2290546389,0.2334910905,0.2377996530,0.2377996530,0.2314088832,0.2314088832,0.2334958207,0.2226992025,0.2226992025,0.2248139304,0.2269523668,0.2184347880,0.2263668773,0.2241339838,0.2241339838,0.2241339838,0.2241339838,0.2241339838,0.2241339838,0.2241339838,0.2241339838,0.2241339838,
MK887547.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN3_EveE,0.2219146776,0.2219146776,0.2127738532,0.2127738532,0.2127738532,0.2172879516,0.2149930002,0.2181893608,0.0064664421,0.0086487540,0.0107931141,0.0064728274,0.0043330659,0.0130516254,0.0108596399,0.0086261192,0.0065727844,0,0.0130661159,0.0064666446,0.0086028513,0.0129820573,0.0085974611,0.0424420096,0.0449917786,0.2225975076,0.2247301351,0.2247301351,0.2247301351,0.2247301351,0.2247301351,0.2268353327,0.2312717843,0.2355803468,0.2355803468,0.2291895770,0.2291895770,0.2312765145,0.2204798963,0.2204798963,0.2225946242,0.2247330606,0.2162154818,0.2241475711,0.2219146776,0.2219146776,0.2219146776,0.2219146776,0.2219146776,0.2219146776,0.2219146776,0.2219146776,0.2219146776,
MK887546.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN2_EveE,0.2220515403,0.2220515403,0.2129107159,0.2129107159,0.2129107159,0.2174248143,0.2151298629,0.2183262235,0.0108724802,0.0130547921,0.0151991522,0.0108788655,0.0087391040,0.0174576635,0.0152656780,0.0130321573,0.0152854221,0.0130661159,0,0.0066035073,0.0087397140,0.0131189200,0.0087343238,0.0425788723,0.0451286413,0.2227343703,0.2248669978,0.2248669978,0.2248669978,0.2248669978,0.2248669978,0.2269721954,0.2314086470,0.2357172095,0.2357172095,0.2293264397,0.2293264397,0.2314133772,0.2206167590,0.2206167590,0.2227314869,0.2248699233,0.2163523445,0.2242844338,0.2220515403,0.2220515403,0.2220515403,0.2220515403,0.2220515403,0.2220515403,0.2220515403,0.2220515403,0.2220515403,
MK887432.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D6_EveE,0.2154500510,0.2154500510,0.2063092266,0.2063092266,0.2063092266,0.2108233250,0.2085283736,0.2117247342,0.0042730089,0.0064553208,0.0085996809,0.0042793942,0.0021396327,0.0108581922,0.0086662067,0.0064326860,0.0086859508,0.0064666446,0.0066035073,0,0.0021382247,0.0065174307,0.0021328345,0.0359773830,0.0385271520,0.2161328810,0.2182655085,0.2182655085,0.2182655085,0.2182655085,0.2182655085,0.2203707061,0.2248071577,0.2291157202,0.2291157202,0.2227249504,0.2227249504,0.2248118879,0.2140152697,0.2140152697,0.2161299976,0.2182684340,0.2097508552,0.2176829445,0.2154500510,0.2154500510,0.2154500510,0.2154500510,0.2154500510,0.2154500510,0.2154500510,0.2154500510,0.2154500510,
MK887550.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN6_EveE,0.2175842397,0.2175842397,0.2084434153,0.2084434153,0.2084434153,0.2129575137,0.2106625623,0.2138589229,0.0064092156,0.0085915275,0.0107358876,0.0064156009,0.0042758394,0.0129943989,0.0108024134,0.0085688927,0.0108221575,0.0086028513,0.0087397140,0.0021382247,0,0.0086516194,0.0042670232,0.0381115717,0.0406613407,0.2182670697,0.2203996972,0.2203996972,0.2203996972,0.2203996972,0.2203996972,0.2225048948,0.2269413464,0.2312499089,0.2312499089,0.2248591391,0.2248591391,0.2269460766,0.2161494584,0.2161494584,0.2182641863,0.2204026227,0.2118850439,0.2198171332,0.2175842397,0.2175842397,0.2175842397,0.2175842397,0.2175842397,0.2175842397,0.2175842397,0.2175842397,0.2175842397,
