,MK887363_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A1_EveS,MK887364_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A2_EveS,MK887366_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A7_EveS,MK887367_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A10_EveS,MK887368_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A12_EveS,MK887446_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L7_EveS,MK887448_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L9_EveS,MK887511_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb9_EveS,MK887512_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb14_EveS,MK887513_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb15_EveS,MK887515_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb18_EveS,MK887516_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb19_EveS,MK887365_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A5_EveS,MK887443_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L2_EveS,MK887444_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L3_EveS,MK887445_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L6_EveS,MK887447_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L8_EveS,MK887514_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb16_EveS,MK887559_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB1_EveE,MK887560_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB2_EveE,MK887561_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB3_EveE,MK887562_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB4_EveE,MK887563_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB5_EveE,MK887564_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB6_EveE,MK887428_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D2_EveE,MK887430_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D4_EveE,MK887431_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D5_EveE,MK887432_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D6_EveE,MK887545_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN1_EveE,MK887546_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN2_EveE,MK887547_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN3_EveE,MK887548_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN4_EveE,MK887549_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN5_EveE,MK887550_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN6_EveE,MK887427_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D1_EveE,MK887429_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D3_EveE,MK887455_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y4_EveW,MK887456_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y9_EveW,MK887457_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y11_EveW,MK887458_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y12_EveW,MK887459_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y13_EveW,MK887460_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y14_EveW,MK887416_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU7_EveW,MK887417_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU8_EveW,MK887418_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU9_EveW,MK887419_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU10_EveW,MK887420_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU11_EveW,MK887421_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU12_EveW,MK887374_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B1_EveW,MK887375_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B2_EveW,MK887378_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B5_EveW,MK887379_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B6_EveW,MK887381_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B8_EveW,MK887380_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B7_EveW
MK887515_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb18_EveS,0.0018569920,0.0019121236,0.0032712881,0.0018597567,0.0018152635,0.0018957760,0.0019072905,0.0018646549,0.0018731191,0.0018977694,0,0.0018559468,0.0077538562,0.0077118725,0.0104749501,0.0077611814,0.0090027151,0.0126506121,0.0963608041,0.0997569071,0.0982208601,0.0976781221,0.0951880280,0.0963497811,0.0964903491,0.0982107461,0.0994305091,0.0950759336,0.0976828761,0.0991994011,0.0968867941,0.0981228701,0.0964668831,0.0964558971,0.0830936341,0.0796131081,0.0846743671,0.0855191531,0.0833261777,0.0833625804,0.0859685201,0.0844361871,0.0882353332,0.0882800628,0.0882059474,0.0882636707,0.0882736921,0.0894879831,0.0925207021,0.0913430176,0.0913327633,0.0959650388,0.0960378191,0.0927542581
MK887516_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb19_EveS,0.0017919386,0.0018470702,0.0032062347,0.0017947033,0.0017502101,0.0018307226,0.0018422371,0.0017996015,0.0018080657,0.0018327160,0.0018559468,0,0.0076888028,0.0076468191,0.0104098967,0.0076961280,0.0089376617,0.0125855587,0.0962957507,0.0996918537,0.0981558067,0.0976130687,0.0951229746,0.0962847277,0.0964252957,0.0981456927,0.0993654557,0.0950108802,0.0976178227,0.0991343477,0.0968217407,0.0980578167,0.0964018297,0.0963908437,0.0830285807,0.0795480547,0.0846093137,0.0854540997,0.0832611243,0.0832975270,0.0859034667,0.0843711337,0.0881702798,0.0882150094,0.0881408940,0.0881986173,0.0882086387,0.0894229297,0.0924556487,0.0912779642,0.0912677099,0.0958999854,0.0959727657,0.0926892047
MK887365_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A5_EveS,0.0076898480,0.0077449796,0.0091041441,0.0076926127,0.0076481195,0.0077286320,0.0077401465,0.0076975109,0.0077059751,0.0077306254,0.0077538562,0.0076888028,0,0.0017973045,0.0045603821,0.0018466134,0.0030881471,0.0067360441,0.0904462361,0.0938423391,0.0923062921,0.0917635541,0.0892734600,0.0904352131,0.0905757811,0.0922961781,0.0935159411,0.0891613656,0.0917683081,0.0932848331,0.0909722261,0.0922083021,0.0905523151,0.0905413291,0.0771790661,0.0736985401,0.0787597991,0.0796045851,0.0774116097,0.0774480124,0.0800539521,0.0785216191,0.0823207652,0.0823654948,0.0822913794,0.0823491027,0.0823591241,0.0835734151,0.0866061341,0.0854284496,0.0854181953,0.0900504708,0.0901232511,0.0868396901
MK887443_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L2_EveS,0.0076478643,0.0077029959,0.0090621604,0.0076506290,0.0076061358,0.0076866483,0.0076981628,0.0076555272,0.0076639914,0.0076886417,0.0077118725,0.0076468191,0.0017973045,0,0.0045183984,0.0018046297,0.0030461634,0.0066940604,0.0904042524,0.0938003554,0.0922643084,0.0917215704,0.0892314763,0.0903932294,0.0905337974,0.0922541944,0.0934739574,0.0891193819,0.0917263244,0.0932428494,0.0909302424,0.0921663184,0.0905103314,0.0904993454,0.0771370824,0.0736565564,0.0787178154,0.0795626014,0.0773696260,0.0774060287,0.0800119684,0.0784796354,0.0822787815,0.0823235111,0.0822493957,0.0823071190,0.0823171404,0.0835314314,0.0865641504,0.0853864659,0.0853762116,0.0900084871,0.0900812674,0.0867977064
MK887444_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L3_EveS,0.0104109419,0.0104660735,0.011825238,0.0104137066,0.0103692134,0.0104497259,0.0104612404,0.0104186048,0.010427069,0.0104517193,0.0104749501,0.0104098967,0.0045603821,0.0045183984,0,0.0045677073,0.005809241,0.009457138,0.093167330,0.096563433,0.095027386,0.094484648,0.0919945539,0.093156307,0.093296875,0.095017272,0.096237035,0.0918824595,0.094489402,0.096005927,0.093693320,0.094929396,0.093273409,0.093262423,0.079900160,0.076419634,0.081480893,0.082325679,0.0801327036,0.0801691063,0.082775046,0.081242713,0.0850418591,0.0850865887,0.0850124733,0.0850701966,0.085080218,0.086294509,0.089327228,0.0881495435,0.0881392892,0.0927715647,0.092844345,0.089560784
MK887445_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L6_EveS,0.0076971732,0.0077523048,0.0091114693,0.0076999379,0.0076554447,0.0077359572,0.0077474717,0.0077048361,0.0077133003,0.0077379506,0.0077611814,0.0076961280,0.0018466134,0.0018046297,0.0045677073,0,0.0030954723,0.0067433693,0.0904535613,0.0938496643,0.0923136173,0.0917708793,0.0892807852,0.0904425383,0.0905831063,0.0923035033,0.0935232663,0.0891686908,0.0917756333,0.0932921583,0.0909795513,0.0922156273,0.0905596403,0.0905486543,0.0771863913,0.0737058653,0.0787671243,0.0796119103,0.0774189349,0.0774553376,0.0800612773,0.0785289443,0.0823280904,0.0823728200,0.0822987046,0.0823564279,0.0823664493,0.0835807403,0.0866134593,0.0854357748,0.0854255205,0.0900577960,0.0901305763,0.0868470153
MK887447_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L8_EveS,0.0089387069,0.0089938385,0.010353003,0.0089414716,0.0088969784,0.0089774909,0.0089890054,0.0089463698,0.008954834,0.0089794843,0.0090027151,0.0089376617,0.0030881471,0.0030461634,0.005809241,0.0030954723,0,0.007984903,0.091695095,0.095091198,0.093555151,0.093012413,0.0905223189,0.091684072,0.091824640,0.093545037,0.094764800,0.0904102245,0.093017167,0.094533692,0.092221085,0.093457161,0.091801174,0.091790188,0.078427925,0.074947399,0.080008658,0.080853444,0.0786604686,0.0786968713,0.081302811,0.079770478,0.0835696241,0.0836143537,0.0835402383,0.0835979616,0.083607983,0.084822274,0.087854993,0.0866773085,0.0866670542,0.0912993297,0.091372110,0.088088549
MK887514_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb16_EveS,0.0125866039,0.0126417355,0.014000900,0.0125893686,0.0125448754,0.0126253879,0.0126369024,0.0125942668,0.012602731,0.0126273813,0.0126506121,0.0125855587,0.0067360441,0.0066940604,0.009457138,0.0067433693,0.007984903,0,0.095342992,0.098739095,0.097203048,0.096660310,0.0941702159,0.095331969,0.095472537,0.097192934,0.098412697,0.0940581215,0.096665064,0.098181589,0.095868982,0.097105058,0.095449071,0.095438085,0.082075822,0.078595296,0.083656555,0.084501341,0.0823083656,0.0823447683,0.084950708,0.083418375,0.0872175211,0.0872622507,0.0871881353,0.0872458586,0.087255880,0.088470171,0.091502890,0.0903252055,0.0903149512,0.0949472267,0.095020007,0.091736446
MK887559_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB1_EveE,0.0962967959,0.0963519275,0.097711092,0.0962995606,0.0962550674,0.0963355799,0.0963470944,0.0963044588,0.096312923,0.0963375733,0.0963608041,0.0962957507,0.0904462361,0.0904042524,0.093167330,0.0904535613,0.091695095,0.095342992,0,0.007627055,0.006091008,0.005548270,0.0030581759,0.004219929,0.004360497,0.006080894,0.007300657,0.0029460815,0.005553024,0.007069549,0.004756942,0.005993018,0.004337031,0.004326045,0.020365862,0.023458968,0.095700067,0.096544853,0.0943518776,0.0943882803,0.096994220,0.095461887,0.0992610331,0.0993057627,0.0992316473,0.0992893706,0.099299392,0.100513683,0.103546402,0.1023687175,0.1023584632,0.1069907387,0.107063519,0.103779958
MK887560_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB2_EveE,0.0996928989,0.0997480305,0.101107195,0.0996956636,0.0996511704,0.0997316829,0.0997431974,0.0997005618,0.099709026,0.0997336763,0.0997569071,0.0996918537,0.0938423391,0.0938003554,0.096563433,0.0938496643,0.095091198,0.098739095,0.007627055,0,0.009487111,0.008944373,0.0064542789,0.007616032,0.007756600,0.009476997,0.010696760,0.0063421845,0.008949127,0.010465652,0.008153045,0.009389121,0.007733134,0.007722148,0.023761965,0.026855071,0.099096170,0.099940956,0.0977479806,0.0977843833,0.100390323,0.098857990,0.1026571361,0.1027018657,0.1026277503,0.1026854736,0.102695495,0.103909786,0.106942505,0.1057648205,0.1057545662,0.1103868417,0.110459622,0.107176061
MK887561_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB3_EveE,0.0981568519,0.0982119835,0.099571148,0.0981596166,0.0981151234,0.0981956359,0.0982071504,0.0981645148,0.098172979,0.0981976293,0.0982208601,0.0981558067,0.0923062921,0.0922643084,0.095027386,0.0923136173,0.093555151,0.097203048,0.006091008,0.009487111,0,0.007408326,0.0049182319,0.006079985,0.006220553,0.007940950,0.009160713,0.0048061375,0.007413080,0.008929605,0.006616998,0.007853074,0.006197087,0.006186101,0.022225918,0.025319024,0.097560123,0.098404909,0.0962119336,0.0962483363,0.098854276,0.097321943,0.1011210891,0.1011658187,0.1010917033,0.1011494266,0.101159448,0.102373739,0.105406458,0.1042287735,0.1042185192,0.1088507947,0.108923575,0.105640014
MK887562_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB4_EveE,0.0976141139,0.0976692455,0.099028410,0.0976168786,0.0975723854,0.0976528979,0.0976644124,0.0976217768,0.097630241,0.0976548913,0.0976781221,0.0976130687,0.0917635541,0.0917215704,0.094484648,0.0917708793,0.093012413,0.096660310,0.005548270,0.008944373,0.007408326,0,0.0043754939,0.005537247,0.005677815,0.007398212,0.008617975,0.0042633995,0.006870342,0.008386867,0.006074260,0.007310336,0.005654349,0.005643363,0.021683180,0.024776286,0.097017385,0.097862171,0.0956691956,0.0957055983,0.098311538,0.096779205,0.1005783511,0.1006230807,0.1005489653,0.1006066886,0.100616710,0.101831001,0.104863720,0.1036860355,0.1036757812,0.1083080567,0.108380837,0.105097276
